SCAN,RSSI,Distance,Temp,Humid
0,-35.5,0,77,53
1,-44.54,3.5,77,53
2,-44.24,7,75,55
3,-43.79,10.5,75,55
4,-50.72,14,75,55
5,-53.25,17.5,75,55
6,-56.79,21,75,56
7,-75.93,24.5,77,56
8,-64.87,28,77,56
9,-65.94,31.5,77,55
10,-69.91,35,77,55
11,-64.02,38.5,77,55
12,-69.5,42,75,55
13,-66.67,45.5,75,55
14,-67.48,49,75,56
15,-72.34,52.5,75,56
16,-73.27,56,75,56
17,-69.06,59.5,75,56
18,-72.97,62,75,56
19,-78.18,63,75,56
20,-78.32,66.5,73,57
21,-71.19,70,75,57
22,-71.58,73.5,75,57
23,-71.17,77,75,56
24,-81.56,80.5,75,56
25,-78.2,84,75,57
26,-70.15,87.5,79,62
27,-75.19,91,79,62
28,-69.83,94.5,79,62
29,-69.1,98,79,62
30,-68.03,101.5,79,62
31,-65.05,105,79,62
32,-71.05,108.5,79,62
33,-69.63,112,77,62
34,-74.12,115.5,79,61
35,-72.75,119,77,62
36,-73.51,122.5,77,62
37,-70.3,126,77,62
38,-70.85,129.5,77,62
39,-73.21,133,77,62
40,-75.37,136.5,77,62
41,-75.54,140,77,62
42,-76.3,143.5,77,62
43,-72.62,144,77,61
